                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.44613,                0.44358,                0.94316,                0.98963,                0.98514,                 0.9938,                0.90753,                0.42596,                0.26371,                0.91205,             0.00010859,             0.00010859,             0.00010859
                    117,                 0.4412,                0.43512,                0.94101,                0.99077,                0.98468,                0.99439,                0.90815,                0.42708,                0.25638,                0.91279,             0.00010801,             0.00010801,             0.00010801
                    118,                0.44991,                0.43807,                0.94734,                0.98838,                 0.9834,                0.99407,                0.90812,                0.42627,                 0.2593,                0.91209,             0.00010743,             0.00010743,             0.00010743
                    119,                0.44677,                0.43719,                0.95168,                0.98681,                0.98724,                0.99438,                0.90924,                 0.4226,                0.25458,                0.91342,             0.00010686,             0.00010686,             0.00010686
                    120,                0.44715,                0.43781,                0.94914,                0.98878,                0.98732,                0.99417,                0.90836,                0.42052,                0.25243,                0.91061,             0.00010628,             0.00010628,             0.00010628
                    121,                0.44848,                0.42946,                0.94772,                0.98705,                0.98452,                0.99399,                0.90875,                0.41836,                0.25598,                 0.9098,              0.0001057,              0.0001057,              0.0001057
                    122,                0.44312,                0.42323,                0.94271,                0.98486,                0.98305,                0.99362,                0.90413,                 0.4284,                0.26635,                0.91823,             0.00010512,             0.00010512,             0.00010512
                    123,                 0.4472,                 0.4272,                0.94343,                0.98905,                0.98739,                0.99409,                0.90844,                0.42432,                0.25431,                0.91234,             0.00010454,             0.00010454,             0.00010454
                    124,                0.44373,                0.42574,                0.94528,                0.98675,                0.98867,                0.99423,                0.90965,                0.41998,                0.25104,                0.90563,             0.00010397,             0.00010397,             0.00010397
                    125,                0.44899,                0.43251,                0.94687,                0.99115,                0.98577,                0.99398,                0.90798,                0.41873,                0.25429,                0.91027,             0.00010339,             0.00010339,             0.00010339
                    126,                0.44992,                 0.4316,                0.95432,                0.98944,                0.98903,                0.99421,                 0.9093,                0.41838,                0.25566,                0.90874,             0.00010281,             0.00010281,             0.00010281
                    127,                0.44396,                0.43334,                0.95546,                0.98852,                0.98479,                0.99409,                0.90648,                0.42597,                0.25324,                0.91428,             0.00010224,             0.00010224,             0.00010224
